,x,y,z,action,seq
0.0,,,,stop,0.0
0.00167202949524,237.0,224.0,2.0,,
0.011794090271,236.0,222.0,1.0,,
0.0217800140381,236.0,224.0,2.0,,
0.0317749977112,235.0,223.0,1.0,,
0.0417630672455,236.0,222.0,2.0,,
0.0517621040344,234.0,221.0,1.0,,
0.0617530345917,236.0,219.0,2.0,,
0.0717549324036,236.0,222.0,1.0,,
0.081757068634,236.0,223.0,0.0,,
0.0917551517487,235.0,223.0,1.0,,
0.10177898407,235.0,223.0,3.0,,
0.111762046814,235.0,223.0,2.0,,
0.121757984161,234.0,222.0,3.0,,
0.13175702095,236.0,223.0,1.0,,
0.141751050949,236.0,223.0,0.0,,
0.151757955551,235.0,223.0,1.0,,
0.161759138107,236.0,222.0,2.0,,
0.171757936478,235.0,222.0,1.0,,
0.181751966476,237.0,222.0,1.0,,
0.191753149033,237.0,221.0,255.0,,
0.201756000519,236.0,222.0,1.0,,
0.211759090424,235.0,224.0,1.0,,
0.221754074097,236.0,222.0,1.0,,
0.231755018234,235.0,221.0,0.0,,
0.241757154465,236.0,222.0,1.0,,
0.251757144928,235.0,223.0,1.0,,
0.261752128601,234.0,223.0,2.0,,
0.271754980087,236.0,222.0,0.0,,
0.281758069992,236.0,221.0,1.0,,
0.291757106781,235.0,221.0,1.0,,
0.301752090454,236.0,221.0,0.0,,
0.311753034592,235.0,221.0,0.0,,
0.321758031845,235.0,221.0,0.0,,
0.331757068634,235.0,222.0,1.0,,
0.341751098633,236.0,222.0,1.0,,
0.351757049561,235.0,223.0,255.0,,
0.361756086349,237.0,221.0,0.0,,
0.371756076813,236.0,221.0,1.0,,
0.38175201416,236.0,223.0,1.0,,
0.391754150391,236.0,221.0,0.0,,
0.401756048203,237.0,223.0,0.0,,
0.41175699234,235.0,223.0,2.0,,
0.421823978424,234.0,223.0,0.0,,
0.431767940521,236.0,223.0,1.0,,
0.441759109497,237.0,223.0,1.0,,
0.451756954193,236.0,222.0,3.0,,
0.461776971817,236.0,221.0,0.0,,
0.471758127213,235.0,221.0,0.0,,
0.481758117676,237.0,222.0,1.0,,
0.491758108139,236.0,222.0,1.0,,
0.501770973206,236.0,222.0,0.0,,
0.511755943298,235.0,222.0,1.0,,
0.521755933762,236.0,221.0,1.0,,
0.531761169434,235.0,222.0,0.0,,
0.541767120361,236.0,222.0,1.0,,
0.551754951477,236.0,222.0,2.0,,
0.561758995056,233.0,222.0,1.0,,
0.571758985519,236.0,222.0,2.0,,
0.581768035889,236.0,222.0,255.0,,
0.591760158539,237.0,223.0,2.0,,
0.601758003235,235.0,223.0,0.0,,
0.611768007278,235.0,221.0,0.0,,
0.621771097183,236.0,223.0,2.0,,
0.631756067276,234.0,223.0,2.0,,
0.641757011414,235.0,223.0,0.0,,
0.651766061783,237.0,222.0,1.0,,
0.661772012711,237.0,222.0,0.0,,
0.671756982803,236.0,222.0,2.0,,
0.681758165359,237.0,223.0,2.0,,
0.691760063171,235.0,222.0,1.0,,
0.701774120331,235.0,222.0,2.0,,
0.711760044098,235.0,222.0,1.0,,
0.721758127213,235.0,224.0,1.0,,
0.73175907135,237.0,221.0,255.0,,
0.741768121719,235.0,223.0,0.0,,
0.751757144928,236.0,221.0,2.0,,
0.761757135391,235.0,222.0,2.0,,
0.771759033203,234.0,223.0,2.0,,
0.781768083572,235.0,222.0,0.0,,
0.791754961014,235.0,223.0,1.0,,
0.801757097244,236.0,222.0,255.0,,
0.811758995056,236.0,221.0,255.0,,
0.821769952774,236.0,222.0,0.0,,
0.83175611496,237.0,222.0,2.0,,
0.841758012772,238.0,222.0,1.0,,
0.851758003235,238.0,222.0,0.0,,
0.861768960953,235.0,220.0,2.0,,
0.871783971786,236.0,221.0,1.0,,
0.88176202774,235.0,221.0,0.0,,
0.891756057739,237.0,222.0,1.0,,
0.901772022247,236.0,222.0,0.0,,
0.911761045456,235.0,222.0,1.0,,
0.921815156937,236.0,221.0,1.0,,
0.931770086288,235.0,222.0,1.0,,
0.941772937775,238.0,223.0,0.0,,
0.951756954193,235.0,221.0,1.0,,
0.961771965027,236.0,221.0,1.0,,
0.97176194191,235.0,221.0,1.0,,
0.981753110886,235.0,222.0,0.0,,
0.991755962372,236.0,221.0,1.0,,
1.0017580986,236.0,221.0,4.0,,
1.00323700905,,,,left,1.0
1.01176714897,235.0,224.0,1.0,,
1.02178096771,234.0,221.0,2.0,,
1.03176593781,233.0,224.0,6.0,,
1.04175901413,230.0,223.0,0.0,,
1.05175900459,230.0,223.0,250.0,,
1.06175494194,225.0,221.0,0.0,,
1.07175898552,228.0,220.0,5.0,,
1.08175706863,232.0,220.0,6.0,,
1.091766119,234.0,223.0,2.0,,
1.10175395012,239.0,218.0,254.0,,
1.11175608635,235.0,228.0,1.0,,
1.12175798416,230.0,221.0,5.0,,
1.13175797462,227.0,221.0,3.0,,
1.14175415039,227.0,215.0,3.0,,
1.15175700188,232.0,208.0,4.0,,
1.16175699234,227.0,216.0,7.0,,
1.17175793648,243.0,218.0,0.0,,
1.18175315857,239.0,224.0,253.0,,
1.19175601006,238.0,214.0,248.0,,
1.20175695419,245.0,225.0,252.0,,
1.2117600441,241.0,227.0,5.0,,
1.22175812721,246.0,216.0,1.0,,
1.23175501823,247.0,211.0,4.0,,
1.24175810814,233.0,221.0,5.0,,
1.25176000595,236.0,232.0,9.0,,
1.26175403595,215.0,246.0,5.0,,
1.27175593376,225.0,241.0,235.0,,
1.28175806999,254.0,202.0,242.0,,
1.29175901413,221.0,214.0,7.0,,
1.30175304413,231.0,210.0,30.0,,
1.31175494194,231.0,220.0,241.0,,
1.32175993919,235.0,247.0,212.0,,
1.33175802231,230.0,232.0,231.0,,
1.34175300598,227.0,216.0,9.0,,
1.35175514221,222.0,223.0,46.0,,
1.3617579937,244.0,228.0,6.0,,
1.37175798416,1.0,216.0,211.0,,
1.38175296783,243.0,219.0,225.0,,
1.39175701141,234.0,224.0,31.0,,
1.40175700188,0.0,217.0,20.0,,
1.41175794601,254.0,227.0,243.0,,
1.4218211174,241.0,233.0,224.0,,
1.43178200722,245.0,,3.0,,
1.44176316261,226.0,217.0,23.0,,
1.45175909996,217.0,225.0,36.0,,
1.4617600441,229.0,211.0,17.0,,
1.47175812721,245.0,204.0,230.0,,
1.481757164,246.0,234.0,0.0,,
1.49176216125,250.0,221.0,5.0,,
1.50175499916,239.0,223.0,251.0,,
1.5117559433,237.0,229.0,249.0,,
1.52175807953,232.0,223.0,5.0,,
1.53176116943,235.0,220.0,3.0,,
