,x,y,z,action,seq
0.0,,,,stop,0.0
0.0010027885437,234.0,223.0,0.0,,
0.0111298561096,234.0,222.0,255.0,,
0.0211379528046,234.0,223.0,0.0,,
0.0311119556427,237.0,223.0,0.0,,
0.0411198139191,234.0,223.0,1.0,,
0.0510938167572,236.0,224.0,0.0,,
0.0610918998718,235.0,222.0,2.0,,
0.0710918903351,235.0,223.0,2.0,,
0.0810878276825,236.0,223.0,1.0,,
0.0910918712616,237.0,222.0,0.0,,
0.101089954376,234.0,223.0,1.0,,
0.111092805862,236.0,222.0,1.0,,
0.121094942093,235.0,223.0,1.0,,
0.131089925766,235.0,223.0,0.0,,
0.141090869904,236.0,223.0,1.0,,
0.151091814041,234.0,223.0,1.0,,
0.161086797714,235.0,223.0,1.0,,
0.171088933945,235.0,222.0,0.0,,
0.181090831757,235.0,222.0,1.0,,
0.19109082222,234.0,222.0,3.0,,
0.201085805893,235.0,223.0,1.0,,
0.211087942123,236.0,223.0,254.0,,
0.221089839935,234.0,224.0,1.0,,
0.231090784073,235.0,223.0,3.0,,
0.241085767746,236.0,223.0,2.0,,
0.251089811325,236.0,223.0,1.0,,
0.261088848114,235.0,222.0,3.0,,
0.271089792252,235.0,224.0,1.0,,
0.281085968018,235.0,223.0,2.0,,
0.291086912155,234.0,222.0,1.0,,
0.301087856293,235.0,223.0,2.0,,
0.311090946198,234.0,223.0,2.0,,
0.321837902069,233.0,224.0,1.0,,
0.331108808517,236.0,222.0,1.0,,
0.34109377861,235.0,221.0,1.0,,
0.351091861725,236.0,221.0,2.0,,
0.361085891724,235.0,224.0,0.0,,
0.371087789536,235.0,222.0,1.0,,
0.381089925766,235.0,222.0,0.0,,
0.391091823578,235.0,223.0,1.0,,
0.401084899902,236.0,223.0,0.0,,
0.411086797714,235.0,224.0,0.0,,
0.421088933945,235.0,223.0,0.0,,
0.431090831757,235.0,223.0,3.0,,
0.441086769104,236.0,223.0,1.0,,
0.451086997986,237.0,222.0,1.0,,
0.461088895798,235.0,223.0,1.0,,
0.471144914627,235.0,222.0,1.0,,
0.481086969376,236.0,223.0,1.0,,
0.491087913513,236.0,223.0,0.0,,
0.501089811325,237.0,223.0,1.0,,
0.51109290123,235.0,223.0,0.0,,
0.521086931229,236.0,221.0,0.0,,
0.531091928482,235.0,223.0,0.0,,
0.541086912155,236.0,225.0,0.0,,
0.551093816757,235.0,222.0,255.0,,
0.561086893082,237.0,223.0,2.0,,
0.571087837219,236.0,223.0,1.0,,
0.58109498024,235.0,223.0,1.0,,
0.591094970703,236.0,223.0,0.0,,
0.601086854935,234.0,223.0,0.0,,
0.611087799072,235.0,223.0,0.0,,
0.621088981628,235.0,222.0,2.0,,
0.63109087944,234.0,224.0,1.0,,
0.641084909439,235.0,223.0,2.0,,
0.651086807251,235.0,223.0,1.0,,
0.661088943481,235.0,224.0,2.0,,
0.671090841293,235.0,224.0,0.0,,
0.681085824966,235.0,224.0,1.0,,
0.691086769104,235.0,225.0,1.0,,
0.701088905334,234.0,223.0,1.0,,
0.711090803146,235.0,223.0,255.0,,
0.721085786819,234.0,221.0,1.0,,
0.731086969376,235.0,223.0,255.0,,
0.741094827652,235.0,222.0,2.0,,
0.751092910767,234.0,222.0,0.0,,
0.761085987091,235.0,224.0,0.0,,
0.771086931229,234.0,223.0,1.0,,
0.781088829041,235.0,223.0,1.0,,
0.791090965271,234.0,222.0,0.0,,
0.80108499527,234.0,223.0,1.0,,
0.811086893082,236.0,224.0,0.0,,
0.821141958237,235.0,222.0,0.0,,
0.831108808517,236.0,223.0,1.0,,
0.84108877182,235.0,224.0,2.0,,
0.851087808609,236.0,224.0,1.0,,
0.861097812653,235.0,224.0,0.0,,
0.871093988419,236.0,222.0,0.0,,
0.88108587265,236.0,222.0,2.0,,
0.891086816788,236.0,222.0,0.0,,
0.901088953018,235.0,223.0,0.0,,
0.911089897156,235.0,222.0,255.0,,
0.921418905258,235.0,222.0,0.0,,
0.931094884872,235.0,224.0,2.0,,
0.941094875336,233.0,222.0,1.0,,
0.951093912125,236.0,222.0,2.0,,
0.961086988449,236.0,224.0,1.0,,
0.971088886261,235.0,223.0,2.0,,
0.981090784073,233.0,223.0,1.0,,
0.991096973419,234.0,222.0,1.0,,
1.00109100342,235.0,223.0,0.0,,
1.00299191475,,,,left,1.0
1.01109480858,235.0,222.0,0.0,,
1.02109289169,235.0,222.0,0.0,,
1.03109192848,230.0,223.0,1.0,,
1.04108786583,236.0,230.0,254.0,,
1.05108880997,229.0,221.0,0.0,,
1.06108999252,224.0,221.0,255.0,,
1.07108688354,222.0,216.0,1.0,,
1.08108687401,219.0,218.0,4.0,,
1.09109091759,228.0,213.0,5.0,,
1.10108995438,238.0,222.0,0.0,,
1.11109089851,240.0,223.0,0.0,,
1.12108588219,231.0,223.0,3.0,,
1.13108778,241.0,219.0,247.0,,
1.14108896255,220.0,229.0,18.0,,
1.15109395981,233.0,222.0,253.0,,
1.16108679771,237.0,231.0,0.0,,
1.17108678818,236.0,224.0,12.0,,
1.18108892441,241.0,218.0,245.0,,
1.19109177589,233.0,233.0,0.0,,
1.20108485222,229.0,211.0,3.0,,
1.21108698845,231.0,224.0,3.0,,
1.22108793259,237.0,214.0,0.0,,
1.23109078407,238.0,211.0,234.0,,
1.24108481407,219.0,225.0,243.0,,
1.25108790398,207.0,233.0,25.0,,
1.26108884811,239.0,225.0,2.0,,
1.27109098434,250.0,238.0,9.0,,
1.28108596802,255.0,221.0,226.0,,
1.29108691216,201.0,215.0,231.0,,
1.30109095573,222.0,214.0,17.0,,
1.3110909462,232.0,227.0,,,
1.3219628334,240.0,233.0,24.0,,
1.33110499382,230.0,217.0,244.0,,
1.34109282494,229.0,222.0,27.0,,
1.35109996796,234.0,223.0,15.0,,
1.36108899117,238.0,220.0,22.0,,
1.37108898163,236.0,216.0,221.0,,
1.38108992577,228.0,227.0,,,
1.39109778404,228.0,227.0,20.0,,
1.40108680725,238.0,218.0,247.0,,
1.41108798981,228.0,223.0,241.0,,
1.42109084129,239.0,217.0,11.0,,
1.43109083176,237.0,218.0,11.0,,
1.44108581543,222.0,225.0,248.0,,
1.45108795166,234.0,226.0,245.0,,
1.46109199524,228.0,228.0,1.0,,
1.47109079361,223.0,216.0,6.0,,
1.48108696938,232.0,217.0,2.0,,
1.49108886719,233.0,229.0,231.0,,
1.50108885765,238.0,237.0,18.0,,
1.51109099388,229.0,229.0,2.0,,
1.52108597755,240.0,227.0,238.0,,
1.53108978271,222.0,220.0,10.0,,
1.54108500481,237.0,219.0,8.0,,
1.55109286308,228.0,227.0,0.0,,
1.56109285355,231.0,223.0,231.0,,
1.57109284401,234.0,225.0,17.0,,
1.58109378815,244.0,221.0,15.0,,
1.59111690521,250.0,234.0,229.0,,
1.6010890007,251.0,226.0,247.0,,
1.61108779907,235.0,235.0,25.0,,
1.62109088898,220.0,229.0,19.0,,
1.63109183311,247.0,239.0,244.0,,
1.64108681679,219.0,235.0,37.0,,
1.65108895302,227.0,214.0,12.0,,
1.66109085083,245.0,226.0,0.0,,
1.67109179497,249.0,231.0,18.0,,
1.68108677864,219.0,219.0,38.0,,
1.6910879612,246.0,223.0,248.0,,
1.70108985901,255.0,230.0,197.0,,
1.71109199524,230.0,226.0,20.0,,
1.72108697891,239.0,230.0,14.0,,
1.73108792305,247.0,222.0,233.0,,
1.74109196663,238.0,234.0,230.0,,
