,x,y,z,action,seq
0.0,,,,stop,0.0
0.00130391120911,236.0,221.0,1.0,,
0.0114238262177,237.0,221.0,0.0,,
0.0214049816132,235.0,221.0,0.0,,
0.031397819519,236.0,221.0,1.0,,
0.041387796402,236.0,222.0,1.0,,
0.0513908863068,236.0,222.0,0.0,,
0.06139087677,236.0,222.0,0.0,,
0.0713839530945,236.0,222.0,1.0,,
0.0813848972321,235.0,222.0,1.0,,
0.0913898944855,235.0,222.0,0.0,,
0.1013879776,236.0,222.0,2.0,,
0.111383914948,236.0,221.0,1.0,,
0.121445894241,236.0,223.0,2.0,,
0.131398916245,234.0,221.0,0.0,,
0.141390800476,235.0,224.0,0.0,,
0.151386976242,236.0,220.0,1.0,,
0.161386013031,235.0,222.0,1.0,,
0.171397924423,234.0,222.0,1.0,,
0.181392908096,235.0,220.0,0.0,,
0.191385984421,237.0,223.0,1.0,,
0.20138502121,236.0,223.0,1.0,,
0.21138882637,235.0,221.0,0.0,,
0.221390962601,236.0,221.0,1.0,,
0.231385946274,236.0,221.0,2.0,,
0.241384983063,235.0,222.0,2.0,,
0.251389980316,235.0,223.0,1.0,,
0.261389970779,237.0,222.0,0.0,,
0.271384954453,237.0,220.0,255.0,,
0.281383991241,236.0,221.0,2.0,,
0.291387796402,236.0,222.0,0.0,,
0.301388025284,235.0,222.0,0.0,,
0.311388969421,234.0,222.0,255.0,,
0.321388959885,235.0,221.0,255.0,,
0.331393957138,236.0,222.0,2.0,,
0.341389894485,237.0,221.0,2.0,,
0.351384878159,236.0,222.0,1.0,,
0.361387014389,235.0,222.0,1.0,,
0.371393918991,234.0,222.0,1.0,,
0.381388902664,235.0,221.0,0.0,,
0.391382932663,236.0,222.0,1.0,,
0.401383876801,236.0,221.0,0.0,,
0.411388874054,235.0,222.0,0.0,,
0.421387910843,235.0,222.0,3.0,,
0.431384801865,237.0,222.0,1.0,,
0.441386938095,238.0,220.0,1.0,,
0.451439857483,235.0,222.0,0.0,,
0.461395025253,236.0,222.0,1.0,,
0.471386909485,233.0,221.0,0.0,,
0.481387853622,234.0,222.0,2.0,,
0.49138879776,234.0,223.0,0.0,,
0.501392841339,236.0,222.0,1.0,,
0.511384963989,236.0,222.0,1.0,,
0.521386861801,235.0,221.0,2.0,,
0.531389951706,236.0,221.0,1.0,,
0.541387796402,235.0,220.0,2.0,,
0.551385879517,235.0,221.0,1.0,,
0.561383962631,236.0,221.0,1.0,,
0.57138800621,236.0,222.0,1.0,,
0.581393957138,237.0,224.0,2.0,,
0.59138584137,236.0,222.0,0.0,,
0.601385831833,235.0,223.0,2.0,,
0.611388921738,235.0,223.0,1.0,,
0.621433019638,235.0,220.0,1.0,,
0.631390810013,235.0,222.0,254.0,,
0.641388893127,235.0,223.0,1.0,,
0.651391029358,235.0,222.0,0.0,,
0.661391019821,235.0,223.0,1.0,,
0.671386003494,235.0,223.0,0.0,,
0.681384801865,236.0,221.0,1.0,,
0.691391944885,236.0,221.0,0.0,,
0.701388835907,237.0,222.0,255.0,,
0.711385965347,236.0,222.0,3.0,,
0.721385002136,235.0,220.0,0.0,,
0.731390953064,236.0,221.0,0.0,,
0.741391897202,236.0,221.0,1.0,,
0.751392841339,237.0,223.0,3.0,,
0.761386871338,235.0,222.0,1.0,,
0.771390914917,236.0,224.0,2.0,,
0.781391859055,236.0,223.0,3.0,,
0.791385889053,235.0,221.0,0.0,,
0.801384925842,235.0,221.0,2.0,,
0.811388969421,236.0,221.0,1.0,,
0.821388959885,236.0,222.0,1.0,,
0.831385850906,235.0,221.0,0.0,,
0.841384887695,235.0,223.0,2.0,,
0.851388931274,235.0,223.0,1.0,,
0.861387968063,236.0,222.0,0.0,,
0.871384859085,235.0,221.0,1.0,,
0.881385803223,237.0,221.0,2.0,,
0.891388893127,236.0,221.0,1.0,,
