,x,y,z,action,seq
0.0,,,,stop,0.0
0.00307106971741,237.0,221.0,2.0,,
0.0131890773773,236.0,220.0,2.0,,
0.0231840610504,236.0,222.0,2.0,,
0.0331602096558,236.0,220.0,1.0,,
0.0431580543518,237.0,220.0,0.0,,
0.0531721115112,236.0,222.0,2.0,,
0.0631630420685,237.0,221.0,0.0,,
0.0731570720673,235.0,222.0,2.0,,
0.0831561088562,235.0,222.0,2.0,,
0.0931570529938,235.0,222.0,1.0,,
0.103159189224,237.0,220.0,2.0,,
0.113156080246,235.0,221.0,1.0,,
0.123165130615,237.0,222.0,1.0,,
0.133155107498,237.0,221.0,255.0,,
0.143156051636,234.0,221.0,2.0,,
0.15315413475,236.0,223.0,1.0,,
0.163155078888,235.0,221.0,1.0,,
0.173156023026,235.0,220.0,2.0,,
0.18315410614,236.0,221.0,3.0,,
0.193154096603,237.0,221.0,1.0,,
0.203155040741,236.0,220.0,1.0,,
0.21315407753,237.0,219.0,0.0,,
0.223211050034,237.0,222.0,1.0,,
0.233172178268,236.0,220.0,0.0,,
0.243156194687,235.0,221.0,0.0,,
0.253157138824,235.0,221.0,1.0,,
0.263162136078,235.0,219.0,2.0,,
0.273160219193,234.0,221.0,2.0,,
0.283157110214,235.0,220.0,1.0,,
0.293156147003,236.0,222.0,1.0,,
0.303156137466,237.0,222.0,1.0,,
0.313153028488,237.0,222.0,1.0,,
0.323156118393,236.0,222.0,0.0,,
0.333154201508,236.0,221.0,2.0,,
0.343158006668,236.0,221.0,1.0,,
0.353152036667,235.0,221.0,2.0,,
0.363155126572,236.0,221.0,255.0,,
0.373155117035,235.0,221.0,3.0,,
0.383155107498,237.0,221.0,1.0,,
0.393154144287,238.0,221.0,1.0,,
0.40315413475,236.0,221.0,1.0,,
0.413155078888,236.0,220.0,0.0,,
0.423157215118,236.0,221.0,0.0,,
0.433152198792,236.0,220.0,1.0,,
0.443155050278,236.0,221.0,0.0,,
0.453154087067,235.0,222.0,1.0,,
0.463151216507,234.0,221.0,1.0,,
0.473152160645,235.0,221.0,1.0,,
0.483154058456,237.0,220.0,0.0,,
0.493155002594,237.0,220.0,2.0,,
0.50315618515,235.0,222.0,2.0,,
0.513152122498,235.0,221.0,1.0,,
0.523155212402,235.0,222.0,2.0,,
0.53315615654,237.0,219.0,0.0,,
0.543155193329,236.0,222.0,1.0,,
0.553152084351,236.0,220.0,0.0,,
0.563210010529,235.0,221.0,1.0,,
0.573171138763,236.0,221.0,2.0,,
0.583161115646,236.0,221.0,1.0,,
0.593154191971,236.0,221.0,1.0,,
0.603156089783,236.0,221.0,2.0,,
0.613156080246,236.0,222.0,1.0,,
0.623156070709,236.0,222.0,1.0,,
0.633154153824,236.0,219.0,0.0,,
0.643156051636,235.0,222.0,1.0,,
0.653160095215,236.0,222.0,1.0,,
0.663154125214,236.0,222.0,2.0,,
0.673153162003,236.0,220.0,1.0,,
0.683155059814,237.0,222.0,1.0,,
0.693155050278,237.0,222.0,0.0,,
0.703151226044,236.0,220.0,3.0,,
0.713156223297,237.0,222.0,0.0,,
0.723751068115,237.0,221.0,2.0,,
0.733206033707,237.0,222.0,0.0,,
0.74317407608,236.0,221.0,255.0,,
0.753162145615,236.0,221.0,1.0,,
0.763270139694,236.0,220.0,1.0,,
0.773157119751,236.0,221.0,2.0,,
0.783158063889,236.0,221.0,1.0,,
0.793154001236,237.0,222.0,1.0,,
0.803154230118,236.0,222.0,2.0,,
0.813157081604,235.0,222.0,2.0,,
0.823158025742,235.0,221.0,1.0,,
0.833154201508,236.0,220.0,2.0,,
0.843155145645,237.0,221.0,1.0,,
0.85315823555,235.0,221.0,2.0,,
0.863159179688,236.0,221.0,1.0,,
0.873167037964,235.0,221.0,1.0,,
0.88315820694,237.0,221.0,1.0,,
0.893183231354,235.0,222.0,0.0,,
0.903158187866,236.0,222.0,1.0,,
0.913154125214,234.0,221.0,1.0,,
0.923156023026,236.0,222.0,1.0,,
0.933158159256,237.0,220.0,2.0,,
0.943158149719,235.0,221.0,1.0,,
0.953154087067,234.0,220.0,1.0,,
0.96315908432,237.0,220.0,1.0,,
0.973160028458,237.0,222.0,3.0,,
0.983158111572,236.0,221.0,1.0,,
0.99315404892,235.0,221.0,1.0,,
1.00315618515,236.0,222.0,2.0,,
1.00582909584,,,,left,1.0
1.01316213608,235.0,221.0,1.0,,
1.02315807343,232.0,222.0,1.0,,
1.0331530571,233.0,220.0,0.0,,
1.04315519333,233.0,221.0,2.0,,
1.05315709114,233.0,219.0,253.0,,
1.06315922737,232.0,213.0,254.0,,
1.07315611839,234.0,218.0,1.0,,
1.08315515518,231.0,222.0,5.0,,
1.09315609932,240.0,219.0,2.0,,
1.10315823555,233.0,225.0,1.0,,
1.11315917969,237.0,220.0,255.0,,
1.12315702438,237.0,209.0,255.0,,
1.13315916061,238.0,221.0,255.0,,
1.1431581974,239.0,228.0,5.0,,
1.15315723419,240.0,221.0,1.0,,
1.16315603256,229.0,226.0,4.0,,
1.17315721512,239.0,216.0,,,
1.18316411972,235.0,226.0,3.0,,
1.1931540966,240.0,212.0,3.0,,
1.20315909386,231.0,229.0,2.0,,
1.21315908432,234.0,232.0,,,
1.22319602966,241.0,210.0,253.0,,
1.23316407204,232.0,208.0,255.0,,
1.24315500259,231.0,215.0,4.0,,
1.25315618515,240.0,216.0,6.0,,
1.2631611824,235.0,219.0,255.0,,
1.27316212654,239.0,209.0,0.0,,
1.28315615654,232.0,223.0,254.0,,
1.29315710068,230.0,223.0,,,
1.30316209793,229.0,222.0,1.0,,
1.31315422058,234.0,222.0,2.0,,
1.32315516472,239.0,224.0,4.0,,
1.33315610886,243.0,226.0,3.0,,
1.34316015244,236.0,218.0,252.0,,
1.3531601429,239.0,224.0,255.0,,
1.36315608025,235.0,226.0,1.0,,
1.37315607071,230.0,216.0,0.0,,
1.38315105438,234.0,233.0,255.0,,
1.39315414429,230.0,220.0,1.0,,
1.40315413475,233.0,224.0,0.0,,
1.41316914558,229.0,201.0,1.0,,
1.42316508293,236.0,222.0,2.0,,
1.43315410614,241.0,219.0,3.0,,
1.44315123558,234.0,223.0,8.0,,
1.45315313339,237.0,220.0,2.0,,
1.46315908432,231.0,218.0,254.0,,
1.47315502167,236.0,225.0,4.0,,
1.48315501213,239.0,218.0,5.0,,
1.49315810204,237.0,226.0,3.0,,
1.5031580925,238.0,219.0,0.0,,
1.5131521225,236.0,211.0,5.0,,
1.52315616608,237.0,216.0,3.0,,
1.53315711021,232.0,223.0,3.0,,
1.54315805435,229.0,234.0,255.0,,
1.55315423012,232.0,218.0,3.0,,
1.56315612793,238.0,221.0,1.0,,
1.57315707207,232.0,221.0,253.0,,
1.5831580162,232.0,219.0,0.0,,
1.59315299988,225.0,212.0,3.0,,
